YEAR,RACEID,DRIVERID,AVG(MILLISECONDS)
2011,849,15,118191.800000
2011,849,4,102330.692308
2011,849,814,105361.411765
2011,848,10,109854.363636
2011,848,67,107238.982143
2011,847,24,213813.594203
2011,853,811,93455.519231
2011,854,18,117188.426230
2011,854,1,118270.868852
2011,851,30,98919.461538
2011,855,13,103427.679245
2011,855,811,104265.188679
2011,855,813,104106.056604
2011,855,815,103637.811321
2011,856,13,107402.309091
2011,856,814,108192.654545
2011,856,155,109324.203704
2011,856,813,113575.066667
2011,856,5,109080.944444
2011,856,816,110674.240741
2011,857,13,94028.656250
2011,853,155,99015.619048
2011,856,153,107846.036364
2011,856,16,108240.418182
2011,856,18,107212.509091
2011,856,4,107230.600000
2011,855,15,104708.811321
2011,854,5,122389.440678
2011,854,153,122279.392857
2011,853,817,126397.487179
2011,856,815,109331.425926
2011,841,813,97992.888889
2011,853,5,95040.627451
2011,853,1,91765.830189
2011,852,816,122619.232558
2011,852,817,123046.076923
2011,852,155,120383.386364
2011,852,815,127245.037037
2011,858,811,109526.074074
2011,843,816,108224.351852
2011,843,808,104921.964286
2011,842,22,113979.500000
2011,850,815,99805.271186
2011,859,15,81367.985507
2011,859,808,79575.614286
2011,859,18,78381.718310
2011,859,17,77992.450704
2011,845,2,91892.538462
2011,858,24,111984.471698
2011,858,10,111380.679245
2011,858,5,109588.018519
2011,858,30,107415.454545
2011,858,1,106034.290909
2011,857,814,93038.016949
2011,857,16,92714.576271
2011,845,67,92766.753846
2011,851,5,97977.036364
2011,846,808,83704.089552
2011,844,13,94782.431034
2011,844,22,95288.701754
2011,844,813,95651.842105
2011,845,4,91597.784615
2011,845,815,92209.307692
2012,873,3,123066.576271
2012,867,5,111426.368421
2012,873,30,124495.921053
2012,869,20,81635.731343
2012,873,154,123099.016949
2012,873,814,122800.118644
2012,873,813,122590.666667
2012,873,18,122628.864407
2012,873,5,124306.966102
2012,873,811,123666.315789
2012,874,807,101649.075472
2012,874,30,101962.471698
2012,875,17,105397.854545
2012,876,817,92613.466667
2012,875,8,105916.181818
2012,871,807,122190.295455
2012,872,5,92352.307692
2012,872,3,90844.735849
2012,872,811,91120.094340
2012,872,155,91039.981132
2012,871,37,126349.604651
2012,871,808,124949.465116
2012,871,20,121867.136364
2012,871,13,122235.795455
2012,871,811,123183.159091
2012,871,818,122895.340909
2012,868,3,99397.730769
2012,870,37,92509.515152
2012,870,819,91184.223881
2012,870,5,90360.279412
2012,870,815,88840.536232
2012,870,18,88344.144928
2012,869,817,82726.731343
2012,869,1,83813.464286
2012,868,5,101147.098039
2012,868,39,102785.340000
2012,868,154,98622.865385
2012,865,13,81701.948718
2012,861,811,177312.125000
2012,863,1,101227.614035
2012,863,814,101202.333333
2012,863,37,105275.909091
2012,864,13,91800.723077
2012,864,808,92403.153846
2012,864,815,92849.702703
2012,865,4,81634.666667
2012,861,10,180869.727273
2012,865,39,84685.973684
2012,866,3,79477.542857
2012,866,817,80200.871429
2012,866,10,83321.803571
2012,867,807,110116.526316
2012,868,20,98387.000000
2012,868,10,101622.823529
2012,868,1,98995.211538
2012,879,818,89455.056338
2012,876,20,91179.066667
2012,875,819,109271.037736
2012,875,808,108359.574074
2012,874,17,101715.415094
2012,874,817,101946.433962
2012,873,808,127353.000000
2012,872,819,92566.153846
2012,872,815,90293.905660
2012,868,17,98294.000000
2012,872,814,90986.377358
2012,860,154,103730.000000
2012,872,13,90771.471698
2012,871,817,122988.909091
2012,860,155,98040.189655
2012,860,8,98061.706897
2012,860,819,102463.905660
2012,861,4,176639.500000
2012,878,8,103923.107143
2012,874,818,102356.358491
2012,874,811,102357.566038
2012,875,13,105614.890909
2012,875,30,106870.763636
2012,875,5,108558.092593
2012,876,17,91399.350000
2012,876,807,92095.700000
2012,876,30,94237.763636
2012,874,154,103006.431373
2012,879,3,90919.314286
2012,878,10,106244.418182
2012,877,37,116917.181818
2012,877,819,118757.024390
2012,877,30,116122.581818
2012,876,818,93760.050847
2012,876,5,94087.254237
2012,876,4,91336.350000
2012,872,30,90801.509434
2012,869,808,83492.090909
2012,869,10,85615.265625
2012,870,1,87905.840580
2012,870,4,88292.115942
2012,871,18,121557.500000
2012,871,30,122770.545455
2012,871,39,129797.896552
2012,872,18,91094.218750
2012,875,807,106071.854545
2012,872,8,90794.377358
2012,872,17,91769.784314
2012,872,818,93734.625000
2012,873,1,117812.681818
2012,873,10,124034.949153
2012,873,37,124647.775862
2012,874,20,100683.811321
2012,861,37,184868.314815
2012,864,3,91319.151515
2012,866,17,79495.300000
2012,865,10,83346.376623
2012,865,811,82193.243590
2012,865,807,82168.192308
2012,865,30,82310.444444
2012,864,20,91162.439394
2012,864,8,90197.409091
2012,863,3,101165.789474
2012,863,8,100251.280702
2012,863,20,100192.807018
2012,862,17,103836.660714
2012,862,155,104029.446429
2012,866,811,80742.724638
2012,861,154,133715.333333
2012,861,808,180094.000000
2012,861,30,177532.285714
2012,861,814,177432.571429
2012,861,815,176679.910714
2012,860,20,97443.172414
2012,871,8,122133.272727
2012,870,39,93454.200000
2012,870,10,92502.469697
2012,870,818,89830.661765
2012,870,813,88827.666667
2012,870,8,87920.797101
2012,874,155,101146.792453
2012,870,20,88074.159420
2012,870,3,88648.362319
2012,877,17,116772.756757
2012,876,3,92540.633333
2012,875,155,115458.250000
2012,875,10,108754.629630
2012,875,817,106553.418182
2012,875,818,106513.454545
2012,875,813,106974.090909
2012,875,814,106783.618182
2012,874,819,106424.648649
2012,874,37,104449.115385
2012,874,8,101635.207547
2012,869,13,82646.119403
2012,872,816,91643.056604
2012,871,155,124196.568182
2012,871,10,125683.720930
2012,869,811,83500.363636
2012,869,8,81824.940299
2012,869,17,82280.641791
2012,868,155,99166.500000
2012,868,13,98477.057692
2012,867,13,111774.678571
2012,867,813,110373.315789
2012,867,155,113433.393939
2012,866,39,83766.500000
2012,861,8,177165.500000
2012,879,813,90970.000000
2012,878,807,104090.375000
2012,879,20,89184.633803
2012,879,808,90427.257143
2012,877,20,115687.818182
2012,878,20,102784.714286
2012,878,819,106881.962963
2012,879,154,85321.000000
2012,879,819,90451.514286
2012,878,814,105044.163636
2012,860,30,95217.000000
2012,861,20,177988.196429
2012,861,813,180490.722222
2012,879,17,89121.014085
2012,862,815,104071.339286
2012,862,13,104101.928571
